STT,TRANG  ,CHß╗¿C N─éNG,,TRß║áNG TH├üI,HIß╗åN TRß║áNG,MONG MUß╗ÉN,TRß║áNG TH├üI,PH├éN C├öNG,NG├ÇY DONE
82,,,- ß║¿n ,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Khi ß║⌐n th╞░╞íng hiß╗çu (status/ß║⌐n), c├íc trang kh├┤ng c├▓n th╞░╞íng hiß╗çu n├áy . C├íc sß║ún phß║⌐m cß╗ºa th╞░╞íng hiß╗çu bß╗ï ß║⌐n vß║½n ─æ╞░ß╗úc quß║ún l├╜.",done,canh,
83,,,- Chß╗ënh sß╗¡a ,Cß║⌐n cß║úi thiß╗çn,"- Admin chß╗ë sß╗¡a link ß║únh qua URL, kh├┤ng c├│ chß╗⌐c n─âng upload file","- Th├¬m n├║t ""Chß╗ìn ß║únh"" ─æß╗â upload file trß╗▒c tiß║┐p tß╗½ m├íy t├¡nh",,,
84,,,- X├│a ,Cß║⌐n cß║úi thiß╗çn,"- Th├┤ng b├ío lß╗ùi khi x├│a brand ─æang ─æ╞░ß╗úc d├╣ng, nh╞░ng admin kh├┤ng biß║┐t th╞░╞íng hiß╗çu bao nhi├¬u sß║ún phß║⌐m",- Hiß╗ân thß╗ï sß╗æ sß║ún phß║⌐m ─æang d├╣ng th╞░╞íng hiß╗çu ─æ├│ ,,,
85,,Quß║ún l├¡ tin tß╗⌐c,- Th├¬m/sß╗¡a,Cß║⌐n cß║úi thiß╗çn,"- Admin chß╗ë g├╡ v─ân bß║ún thuß║ºn v├á nhß║¡p URL, kh├┤ng c├│ chß╗⌐c n─âng upload file, kh├┤ng c├│ hß╗ù trß╗ú viß╗çc highlight in ─æß║¡m, t├┤ m├áu, hay l├ám c├íc c├┤ng cß╗Ñ content kh├íc","- Th├¬m n├║t upload ß║únh trß╗▒c tiß║┐p, t├¡ch hß╗úp th├¬m c├┤ng cß╗Ñ chß╗ënh sß╗¡a ─æß╗â tß╗æi ╞░u trß║úi nghiß╗çm cß╗ºa admin",,,
86,,,- X├│a ,─Éß║ít y├¬u cß║ºu,- X├│a b├ái viß║┐t th├ánh c├┤ng khß╗Åi c╞í sß╗ƒ dß╗» liß╗çu ,- N├¬n kß║┐t hß╗úp th├¬m tß╗▒ ─æß╗Öng x├│a c├íc file t╞░╞íng ß╗⌐ng tr├¬n trang chß╗º,,,
87,,Quß║ún l├¡ banner,- Th├¬m/sß╗¡a/tß║»t/ß║⌐n,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Khi th├¬m/sß╗¡a/ file ß║únh banner, file ß║únh ─æ╞░ß╗úc th├¬m/sß╗¡a v├á database cß║¡p nhß║¡t, khi tß║»t/ß║⌐n th├¼ trang chß╗º cß║¡p nhß║¡t kh├┤ng thß║Ñy banner.",done,canh,
88,,,- X├│a,Cß║⌐n cß║úi thiß╗çn,- Khi admin x├│a - DB bß╗ï x├│a - file ß║únh upload l├¬n server vß║½n c├▓n,- Tß╗▒ ─æß╗Öng x├│a file ß║únh vß║¡t l├╜ tr├¬n server khi x├│a banner,,,
89,,Quß║ún l├¡ ─æ╞ín h├áng,- Cß║¡p nhß║¡t trß║íng th├íi ─æ╞ín h├áng,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Bß╗ò sung form/ n├║t cho ph├⌐p Admin cß║¡p nhß║¡t nhanh trß║íng th├íi ─æ╞ín h├áng theo ─æ├║ng luß╗ông hß╗ç thß╗æng 
(Pending -> Shipping -> Delivered/ Canceled). Th├¬m ""l├╜ do thay ─æß╗òi"" v├á l╞░u trß╗» lß║íi t├ái khoß║ún admin n├áo ─æ├ú thß╗▒c hiß╗çn thao t├íc ─æ├│.",done,canh,
90,,,- Lß╗ïch sß╗¡ thay ─æß╗òi trß║íng th├íi,Cß║⌐n cß║úi thiß╗çn,"- Ch╞░a c├│ DB l╞░u lß╗ïch sß╗¡ ai ─æß╗òi trß║íng th├íi, mß║Ñy giß╗¥ -> sß║╜ b├ío lß╗ùi khi d├╣ng ","- Tß║ío bß║úng DB c├▓n thiß║┐u ─æß╗â l╞░u lß╗ïch sß╗¡, hiß╗ân thß╗ï timeline thay ─æß╗òi d╞░ß╗¢i chi tiß║┐t ─æ╞ín",done,canh,
91,,,- Hß╗ºy ─æ╞ín h├áng tß╗½ ph├¡a admin,Cß║⌐n cß║úi thiß╗çn,"- Admin chß╗ë hß╗ºy ─æ╞░ß╗úc khi ─æang ß╗ƒ trß║íng th├íi ""Chß╗¥ xß╗¡ l├╜"", Nß║┐u kh├ích ─æ├ú thanh to├ín m├á cß║ºn hß╗ºy th├¼ kh├┤ng hß╗ºy ─æ╞░ß╗úc ","- Th├¬m chß╗⌐c n─âng nhß║¡p l├╜ do hß╗ºy v├á ho├án lß║íi h├áng v├áo kho, nß║┐u ─æ├ú thanh to├ín th├¼ ho├án tiß╗ün cho kh├ích",done,canh,
92,,,- Giao diß╗çn trang danh s├ích ─æ╞ín h├áng,Cß║⌐n cß║úi thiß╗çn,"- Kh├┤ng ├┤ lß╗ìc theo trß║íng th├íi
- Kh├┤ng c├│ ├┤ t├¼m kiß║┐m
- Kh├┤ng ph├ón trang","- Th├¬m thanh lß╗ìc theo trß║íng th├íi
- ├ö t├¼m kiß║┐m theo t├¬n/ sß╗æ ─æiß╗çn thoß║íi
- Ph├ón trang",done,canh,
93,,Quß║ún l├¡ ng╞░ß╗¥i d├╣ng,- Kh├│a/Mß╗ƒ t├ái khoß║ún,Cß║⌐n cß║úi thiß╗çn,- Lß╗ù hß╗òng bß║úo mß║¡t SQL Injection - c├│ thß╗â bß╗ï truy cß║¡p ,- Sß╗¡a lß║íi c├ích truy vß║Ñn DB an to├án h╞ín.,,,
94,,,- Chß╗ënh sß╗¡a quyß╗ün admin hoß║╖c user,─Éß║ít y├¬u cß║ºu,- Chß╗⌐c n─âng ph├ón Roles hoß║ít ─æß╗Öng. Hß╗ç thß╗æng tß╗▒ ─æß╗Öng x├íc thß╗▒c hoß║╖c chß║╖n session ngay khi quyß╗ün cß╗ºa user/admin thay ─æß╗òi,"- Khi admin thay ─æß╗òi quyß╗ün cho mß╗Öt kh├ích h├áng tß╗½ User th├ánh Admin, t├ái khoß║ún ─æ├│ ─æ╞░ß╗úc truy cß║¡p ─æ╞░ß╗úc link quß║ún trß╗ï Admin",,,
95,,,- X├│a t├ái khoß║ún,Cß║⌐n cß║úi thiß╗çn,"- Lß╗ù hß╗òng SQL Injection. Sai chß╗» ""Uset not found""","- Sß╗¡a lß╗ù hß╗òng bß║úo mß║¡t, sß╗¡a lß╗ùi ch├¡nh tß║ú",,,
,,,- L├ám mß╗¢i,Cß║ºn cß║úi thiß╗çn ,"- Khi admin ß║Ñn v├áo n├║t l├ám mß╗¢i th├¼ chß╗⌐c n─âng kh├┤ng thß╗▒c hiß╗çn l├ám mß╗¢i, t├ái khoß║ún mß╗¢i ─æ─âng k├¡ kh├┤ng ─æ╞░ß╗úc cß║¡p nhß║¡t","- Khi ß║Ñn v├áo n├║t l├ám mß╗¢i, c├íc user mß╗¢i ─æ─âng k├¡ ─æ╞░ß╗úc cß║¡p nhß║¡t kh├┤ng cß║ºn phß║úi load lß║íi trang hoß║╖c ─æ─âng nhß║¡p lß║íi.",,,
97,,,- T├¼m kiß║┐m v├á lß╗ìc ng╞░ß╗¥i d├╣ng,Cß║⌐n cß║úi thiß╗çn,"- Hiß╗ân thß╗ï tß║Ñt cß║ú t├ái khoß║ún, kh├┤ng ├┤ t├¼m kiß║┐m, kh├┤ng lß╗ìc theo role, kh├┤ng ph├ón trang","- Th├¬m ├┤ t├¼m kiß║┐m theo t├¬n/email, bß╗Ö lß╗ìc (admin/staff/user, ─æang hoß║ít ─æß╗Öng/bß╗ï kh├│a), ph├ón trang",done,canh,
98,,Quß║ún l├¡ Voucher ,- Th├¬m,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Hß╗ç thß╗æng kh├┤ng cho ph├⌐p th├¬m mß╗¢i tr├╣ng nhau, gi├í trß╗ï giß║úm gi├í v├á phß║ºn tr─âm kh├┤ng nhß║¡p sß╗æ ├óm",done,canh,
,,,- Sß╗¡a,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Hß╗ç thß╗æng linh hoß║ít nß╗¢i rß╗Öng thß╗¥i gian sß╗¡ dß╗Ñng, sß╗¡a th├┤ng tin, kh├┤ng ─æ╞░ß╗úc sß╗¡a sß╗æ tiß╗ün v├¼ c├│ thß╗â ß║únh h╞░ß╗ƒng tß╗¢i c├íc ─æ╞ín h├áng c┼⌐",done,canh,
,,,- Hß╗ºy ,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Hß╗ç thß╗æng hiß╗ân thß╗ï th├┤ng b├ío x├íc nhß║»n hß╗ºy voucher ─æß╗â ng─ân chß║╖n viß╗çc click nhß║ºm cß╗ºa admin. Nß║┐u Voucher ch╞░a ─æ╞░ß╗úc sß╗¡ dß╗Ñng th├¼ cho ph├⌐p x├│a ho├án to├án khß╗Åi DB, nß║┐u ─æ├ú sß╗¡ dß╗Ñng th├¼ hay v├¼ x├│a sß║╜ chuyß╗ân sang voucher tß║ím ß║⌐n ─æß╗â l╞░u trß╗» lß╗ïch sß╗¡",done,canh,
,,Quß║ún l├¡ ch├¡nh s├ích ,- Th├¬m,Cß║ºn cß║úi thiß╗çn,,,done,canh,
102,,,- Sß╗¡a,Cß║⌐n cß║úi thiß╗çn,,,done,canh,
